,index,utterance
0,1,Some people are looking at computers
1,1,Some dogs are in the water
2,1,Some jeans are on men
3,1,Some airplanes are in ground
4,1,Some deers are standing behind rock
5,1,Some giraffes are walking on grass
6,1,Some donuts are in the boxes
7,1,Some players hold gloves
8,1,Some suitcases are on bed
9,1,Some furnitures has arms
10,1,Some windows are on the trains
11,1,Some people are wearing boots
12,1,Some people are with hair
13,1,Some ducks are in water
14,1,Some windows are along side of bus
15,1,Some boys are on the bench
16,1,Some pigeons have wings
17,1,Some cats are not pictured on screen
18,1,Some glasses are for wine
19,1,Some boys are playing wii
20,1,Some people are wearing shirts
21,1,Some children are wearing orange pants
22,1,Some people are in orange
23,1,Some noodles are on the plate
24,1,Some children are on horse
25,1,Some tires are on the vehicles
26,1,Some men touch screens
27,1,Some stones are behind the birds
28,1,Some sheep wear pink
29,1,Some broccolis are on the plates
30,1,Some people sit on the truck
31,1,Some hands are from woman
32,1,Some trees are behind woman
33,1,Some plates are with food
34,1,Some people take bags
35,1,Some gloves are on snow
36,1,Some people are using umbrellas
37,1,Some women are carrying purses
38,1,Some boys eat donut
39,1,Some people are on skateboards
