,index,utterance
0,1,Some pillows are white
1,1,Some lines are white
2,1,Some phones are white
3,1,Some shirts are green
4,1,Some buildings are tan
5,1,Some trees are green
6,1,Some hairs are blonde
7,1,Some bush is green
8,1,Some cars are white
9,1,Some clouds are grey
10,1,Some cars are black
11,1,Some hoses are green
12,1,Some shirts are white
13,1,Some pants are white
14,1,Some tables are brown
15,1,Some walls are orange
16,1,Some stands are orange
17,1,Some vans are white
18,1,Some vehicles are white
19,1,Some cars are red
20,1,Some signs are blue
21,1,Some streets are paved
22,1,Some signs are green
23,1,Some vegetations are green
24,1,Some buildings are orange
25,1,Some trees are brown
26,1,Some signs are white
27,1,Some buildings are red
28,1,Some doors are open
29,1,Some plates are round
30,1,Some dogs are brown
31,1,Some tails are red and blue
32,1,Some lines are red
33,1,Some tires are black
34,1,Some lines are blue
